:START_ID,:END_ID,:TYPE
32976,3591,NEEDS
32976,3653,NEEDS
32976,3654,NEEDS
32976,3755,NEEDS
32976,3757,NEEDS
32976,3756,NEEDS
32976,3754,NEEDS
32976,3753,NEEDS
32976,3758,NEEDS
32976,3652,NEEDS
32977,3771,NEEDS
32977,3760,NEEDS
32977,3592,NEEDS
32977,3602,NEEDS
32977,3607,NEEDS
32977,3776,NEEDS
32977,3775,NEEDS
32977,3774,NEEDS
32977,3773,NEEDS
32977,3759,NEEDS
32977,3770,NEEDS
32977,3772,NEEDS
32977,3683,NEEDS
32977,3768,NEEDS
32977,3767,NEEDS
32977,3766,NEEDS
32977,3765,NEEDS
32977,3764,NEEDS
32977,3763,NEEDS
32977,3762,NEEDS
32977,3761,NEEDS
32977,3769,NEEDS
32978,3778,NEEDS
32978,3777,NEEDS
32979,3779,NEEDS
32979,3780,NEEDS
32979,3782,NEEDS
32979,3781,NEEDS
32980,3785,NEEDS
32980,3784,NEEDS
32980,3786,NEEDS
32980,3787,NEEDS
32980,3788,NEEDS
32980,3789,NEEDS
32980,3783,NEEDS
32980,3709,NEEDS
32981,3790,NEEDS
32981,3568,NEEDS
32981,3778,NEEDS
32982,3799,NEEDS
32982,3807,NEEDS
32982,3806,NEEDS
32982,3805,NEEDS
32982,3804,NEEDS
32982,3803,NEEDS
32982,3802,NEEDS
32982,3798,NEEDS
32982,3791,NEEDS
32982,3793,NEEDS
32982,3794,NEEDS
32982,3795,NEEDS
32982,3801,NEEDS
32982,3800,NEEDS
32982,3797,NEEDS
32982,3792,NEEDS
32982,3796,NEEDS
32982,3728,NEEDS
32982,3551,NEEDS
32983,3652,NEEDS
32983,3697,NEEDS
32983,3696,NEEDS
32983,3695,NEEDS
32983,3778,NEEDS
32983,3653,NEEDS
32983,3532,NEEDS
32983,3808,NEEDS
32983,3691,NEEDS
32983,3706,NEEDS
32983,3810,NEEDS
32983,3809,NEEDS
32983,3693,NEEDS
32984,3811,NEEDS
32984,3813,NEEDS
32984,3814,NEEDS
32984,3812,NEEDS
32984,3815,NEEDS
32985,3825,NEEDS
32985,3824,NEEDS
32985,3822,NEEDS
32985,3816,NEEDS
32985,3821,NEEDS
32985,3820,NEEDS
32985,3819,NEEDS
32985,3818,NEEDS
32985,3817,NEEDS
32985,3823,NEEDS
32985,3826,NEEDS
32985,3827,NEEDS
32985,3829,NEEDS
32985,3828,NEEDS
32986,3836,NEEDS
32986,3835,NEEDS
32986,3834,NEEDS
32986,3833,NEEDS
32986,3832,NEEDS
32986,3831,NEEDS
32986,3830,NEEDS
32987,3838,NEEDS
32987,3837,NEEDS
32987,3841,NEEDS
32987,3839,NEEDS
32987,3842,NEEDS
32987,3840,NEEDS
32987,3843,NEEDS
