location_id:ID,location_name,:LABEL
0,"Indianapolis, IN",LOCATION
1,"Bellevue, WA",LOCATION
2,"Coconut Creek, FL",LOCATION
3,"Hartford, CT",LOCATION
4,"New York, NY",LOCATION
5,"Seattle, WA",LOCATION
6,"San Francisco, CA",LOCATION
7,"Woodland Hills, CA",LOCATION
8,"Mount Laurel, NJ",LOCATION
9,"Atlanta, GA",LOCATION
10,"Burlington, MA",LOCATION
11,"Lexington, MA",LOCATION
12,"Waltham, MA",LOCATION
