:START_ID,:START_ID,:END_ID,:TYPE
615,615,0,HAS_FUTURE
620,620,0,HAS_FUTURE
630,630,0,HAS_FUTURE
633,633,0,HAS_FUTURE
634,634,0,HAS_FUTURE
637,637,0,HAS_FUTURE
638,638,0,HAS_FUTURE
640,640,0,HAS_FUTURE
644,644,0,HAS_FUTURE
646,646,0,HAS_FUTURE
649,649,0,HAS_FUTURE
666,666,0,HAS_FUTURE
667,667,0,HAS_FUTURE
668,668,0,HAS_FUTURE
669,669,0,HAS_FUTURE
670,670,0,HAS_FUTURE
674,674,0,HAS_FUTURE
675,675,0,HAS_FUTURE
676,676,0,HAS_FUTURE
678,678,0,HAS_FUTURE
680,680,0,HAS_FUTURE
682,682,0,HAS_FUTURE
684,684,0,HAS_FUTURE
688,688,0,HAS_FUTURE
695,695,0,HAS_FUTURE
703,703,0,HAS_FUTURE
712,712,0,HAS_FUTURE
717,717,0,HAS_FUTURE
718,718,0,HAS_FUTURE
720,720,0,HAS_FUTURE
724,724,0,HAS_FUTURE
729,729,0,HAS_FUTURE
730,730,0,HAS_FUTURE
731,731,0,HAS_FUTURE
737,737,0,HAS_FUTURE
738,738,0,HAS_FUTURE
739,739,0,HAS_FUTURE
740,740,0,HAS_FUTURE
743,743,0,HAS_FUTURE
744,744,0,HAS_FUTURE
755,755,0,HAS_FUTURE
762,762,0,HAS_FUTURE
766,766,0,HAS_FUTURE
769,769,0,HAS_FUTURE
777,777,0,HAS_FUTURE
786,786,0,HAS_FUTURE
787,787,0,HAS_FUTURE
789,789,0,HAS_FUTURE
790,790,0,HAS_FUTURE
791,791,0,HAS_FUTURE
793,793,0,HAS_FUTURE
812,812,0,HAS_FUTURE
814,814,0,HAS_FUTURE
816,816,0,HAS_FUTURE
817,817,0,HAS_FUTURE
821,821,0,HAS_FUTURE
822,822,0,HAS_FUTURE
824,824,0,HAS_FUTURE
830,830,0,HAS_FUTURE
831,831,0,HAS_FUTURE
833,833,0,HAS_FUTURE
841,841,0,HAS_FUTURE
842,842,0,HAS_FUTURE
847,847,0,HAS_FUTURE
848,848,0,HAS_FUTURE
853,853,0,HAS_FUTURE
855,855,0,HAS_FUTURE
856,856,0,HAS_FUTURE
858,858,0,HAS_FUTURE
859,859,0,HAS_FUTURE
862,862,0,HAS_FUTURE
866,866,0,HAS_FUTURE
870,870,0,HAS_FUTURE
876,876,0,HAS_FUTURE
878,878,0,HAS_FUTURE
880,880,0,HAS_FUTURE
881,881,0,HAS_FUTURE
882,882,0,HAS_FUTURE
885,885,0,HAS_FUTURE
888,888,0,HAS_FUTURE
889,889,0,HAS_FUTURE
890,890,0,HAS_FUTURE
891,891,0,HAS_FUTURE
894,894,0,HAS_FUTURE
897,897,0,HAS_FUTURE
898,898,0,HAS_FUTURE
903,903,0,HAS_FUTURE
908,908,0,HAS_FUTURE
913,913,0,HAS_FUTURE
914,914,0,HAS_FUTURE
915,915,0,HAS_FUTURE
919,919,0,HAS_FUTURE
920,920,0,HAS_FUTURE
922,922,0,HAS_FUTURE
929,929,0,HAS_FUTURE
932,932,0,HAS_FUTURE
937,937,0,HAS_FUTURE
940,940,0,HAS_FUTURE
946,946,0,HAS_FUTURE
947,947,0,HAS_FUTURE
958,958,0,HAS_FUTURE
960,960,0,HAS_FUTURE
965,965,0,HAS_FUTURE
967,967,0,HAS_FUTURE
968,968,0,HAS_FUTURE
976,976,0,HAS_FUTURE
977,977,0,HAS_FUTURE
978,978,0,HAS_FUTURE
979,979,0,HAS_FUTURE
981,981,0,HAS_FUTURE
982,982,0,HAS_FUTURE
987,987,0,HAS_FUTURE
988,988,0,HAS_FUTURE
989,989,0,HAS_FUTURE
990,990,0,HAS_FUTURE
991,991,0,HAS_FUTURE
992,992,0,HAS_FUTURE
993,993,0,HAS_FUTURE
999,999,0,HAS_FUTURE
1000,1000,0,HAS_FUTURE
1001,1001,0,HAS_FUTURE
1007,1007,0,HAS_FUTURE
1009,1009,0,HAS_FUTURE
1010,1010,0,HAS_FUTURE
3,3,1,HAS_FUTURE
5,5,1,HAS_FUTURE
8,8,1,HAS_FUTURE
11,11,1,HAS_FUTURE
13,13,1,HAS_FUTURE
14,14,1,HAS_FUTURE
19,19,1,HAS_FUTURE
28,28,1,HAS_FUTURE
32,32,1,HAS_FUTURE
38,38,1,HAS_FUTURE
40,40,1,HAS_FUTURE
43,43,1,HAS_FUTURE
45,45,1,HAS_FUTURE
46,46,1,HAS_FUTURE
47,47,1,HAS_FUTURE
56,56,1,HAS_FUTURE
63,63,1,HAS_FUTURE
66,66,1,HAS_FUTURE
67,67,1,HAS_FUTURE
75,75,1,HAS_FUTURE
78,78,1,HAS_FUTURE
85,85,1,HAS_FUTURE
91,91,1,HAS_FUTURE
93,93,1,HAS_FUTURE
94,94,1,HAS_FUTURE
98,98,1,HAS_FUTURE
100,100,1,HAS_FUTURE
113,113,1,HAS_FUTURE
114,114,1,HAS_FUTURE
119,119,1,HAS_FUTURE
122,122,1,HAS_FUTURE
123,123,1,HAS_FUTURE
124,124,1,HAS_FUTURE
128,128,1,HAS_FUTURE
142,142,1,HAS_FUTURE
144,144,1,HAS_FUTURE
152,152,1,HAS_FUTURE
154,154,1,HAS_FUTURE
155,155,1,HAS_FUTURE
156,156,1,HAS_FUTURE
157,157,1,HAS_FUTURE
162,162,1,HAS_FUTURE
166,166,1,HAS_FUTURE
171,171,1,HAS_FUTURE
173,173,1,HAS_FUTURE
177,177,1,HAS_FUTURE
179,179,1,HAS_FUTURE
182,182,1,HAS_FUTURE
183,183,1,HAS_FUTURE
184,184,1,HAS_FUTURE
189,189,1,HAS_FUTURE
192,192,1,HAS_FUTURE
202,202,1,HAS_FUTURE
205,205,1,HAS_FUTURE
209,209,1,HAS_FUTURE
210,210,1,HAS_FUTURE
216,216,1,HAS_FUTURE
220,220,1,HAS_FUTURE
233,233,1,HAS_FUTURE
237,237,1,HAS_FUTURE
238,238,1,HAS_FUTURE
250,250,1,HAS_FUTURE
257,257,1,HAS_FUTURE
258,258,1,HAS_FUTURE
261,261,1,HAS_FUTURE
262,262,1,HAS_FUTURE
271,271,1,HAS_FUTURE
274,274,1,HAS_FUTURE
277,277,1,HAS_FUTURE
278,278,1,HAS_FUTURE
283,283,1,HAS_FUTURE
287,287,1,HAS_FUTURE
292,292,1,HAS_FUTURE
296,296,1,HAS_FUTURE
300,300,1,HAS_FUTURE
302,302,1,HAS_FUTURE
304,304,1,HAS_FUTURE
311,311,1,HAS_FUTURE
315,315,1,HAS_FUTURE
316,316,1,HAS_FUTURE
317,317,1,HAS_FUTURE
318,318,1,HAS_FUTURE
319,319,1,HAS_FUTURE
320,320,1,HAS_FUTURE
322,322,1,HAS_FUTURE
324,324,1,HAS_FUTURE
334,334,1,HAS_FUTURE
336,336,1,HAS_FUTURE
338,338,1,HAS_FUTURE
356,356,1,HAS_FUTURE
359,359,1,HAS_FUTURE
361,361,1,HAS_FUTURE
362,362,1,HAS_FUTURE
365,365,1,HAS_FUTURE
368,368,1,HAS_FUTURE
369,369,1,HAS_FUTURE
372,372,1,HAS_FUTURE
373,373,1,HAS_FUTURE
375,375,1,HAS_FUTURE
376,376,1,HAS_FUTURE
379,379,1,HAS_FUTURE
396,396,1,HAS_FUTURE
402,402,1,HAS_FUTURE
403,403,1,HAS_FUTURE
410,410,1,HAS_FUTURE
414,414,1,HAS_FUTURE
420,420,1,HAS_FUTURE
436,436,1,HAS_FUTURE
441,441,1,HAS_FUTURE
442,442,1,HAS_FUTURE
443,443,1,HAS_FUTURE
446,446,1,HAS_FUTURE
447,447,1,HAS_FUTURE
455,455,1,HAS_FUTURE
467,467,1,HAS_FUTURE
474,474,1,HAS_FUTURE
479,479,1,HAS_FUTURE
480,480,1,HAS_FUTURE
481,481,1,HAS_FUTURE
482,482,1,HAS_FUTURE
483,483,1,HAS_FUTURE
492,492,1,HAS_FUTURE
495,495,1,HAS_FUTURE
498,498,1,HAS_FUTURE
502,502,1,HAS_FUTURE
503,503,1,HAS_FUTURE
504,504,1,HAS_FUTURE
513,513,1,HAS_FUTURE
514,514,1,HAS_FUTURE
518,518,1,HAS_FUTURE
529,529,1,HAS_FUTURE
542,542,1,HAS_FUTURE
546,546,1,HAS_FUTURE
554,554,1,HAS_FUTURE
557,557,1,HAS_FUTURE
559,559,1,HAS_FUTURE
567,567,1,HAS_FUTURE
569,569,1,HAS_FUTURE
574,574,1,HAS_FUTURE
580,580,1,HAS_FUTURE
586,586,1,HAS_FUTURE
587,587,1,HAS_FUTURE
589,589,1,HAS_FUTURE
601,601,1,HAS_FUTURE
602,602,1,HAS_FUTURE
604,604,1,HAS_FUTURE
607,607,1,HAS_FUTURE
609,609,1,HAS_FUTURE
616,616,1,HAS_FUTURE
622,622,1,HAS_FUTURE
623,623,1,HAS_FUTURE
627,627,1,HAS_FUTURE
