:END_ID,:START_ID,:TYPE
3613,14,POSTED
3618,14,POSTED
3624,14,POSTED
3626,14,POSTED
3627,14,POSTED
3628,14,POSTED
3630,14,POSTED
3631,14,POSTED
3632,14,POSTED
3633,14,POSTED
3635,14,POSTED
3636,14,POSTED
3657,14,POSTED
3666,14,POSTED
3673,14,POSTED
3674,14,POSTED
3676,14,POSTED
3684,14,POSTED
3686,14,POSTED
3696,14,POSTED
3699,14,POSTED
3702,14,POSTED
3703,14,POSTED
3704,14,POSTED
3709,14,POSTED
3711,14,POSTED
3715,14,POSTED
3723,14,POSTED
3730,14,POSTED
3731,14,POSTED
3732,14,POSTED
3734,14,POSTED
3746,14,POSTED
3748,14,POSTED
3751,14,POSTED
3752,14,POSTED
3756,14,POSTED
3765,14,POSTED
3803,14,POSTED
3811,14,POSTED
3841,14,POSTED
3855,14,POSTED
3862,14,POSTED
3881,14,POSTED
3891,14,POSTED
3939,14,POSTED
3964,14,POSTED
3968,14,POSTED
3988,14,POSTED
4076,14,POSTED
4145,14,POSTED
4161,14,POSTED
4185,14,POSTED
4230,14,POSTED
4236,14,POSTED
4251,14,POSTED
4342,14,POSTED
9104,14,POSTED
9696,14,POSTED
10027,14,POSTED
16058,14,POSTED
23,15,POSTED
68,15,POSTED
7558,15,POSTED
25,16,POSTED
10066,16,POSTED
10119,16,POSTED
10140,16,POSTED
10209,16,POSTED
10247,16,POSTED
10297,16,POSTED
10368,16,POSTED
10384,16,POSTED
10469,16,POSTED
10504,16,POSTED
10536,16,POSTED
27,17,POSTED
71,17,POSTED
75,17,POSTED
282,17,POSTED
968,17,POSTED
6282,17,POSTED
9397,17,POSTED
10057,17,POSTED
10098,17,POSTED
10123,17,POSTED
10143,17,POSTED
10200,17,POSTED
10229,17,POSTED
10251,17,POSTED
10346,17,POSTED
10359,17,POSTED
10526,17,POSTED
10538,17,POSTED
10605,17,POSTED
12220,17,POSTED
12239,17,POSTED
12251,17,POSTED
12269,17,POSTED
12273,17,POSTED
12367,17,POSTED
12399,17,POSTED
12413,17,POSTED
12514,17,POSTED
12523,17,POSTED
12531,17,POSTED
12616,17,POSTED
12692,17,POSTED
12753,17,POSTED
12795,17,POSTED
14698,17,POSTED
15167,17,POSTED
15226,17,POSTED
15235,17,POSTED
15246,17,POSTED
15395,17,POSTED
15419,17,POSTED
15437,17,POSTED
15447,17,POSTED
15508,17,POSTED
15592,17,POSTED
15601,17,POSTED
15641,17,POSTED
15651,17,POSTED
15656,17,POSTED
15673,17,POSTED
15680,17,POSTED
15702,17,POSTED
15713,17,POSTED
15736,17,POSTED
15846,17,POSTED
15909,17,POSTED
15910,17,POSTED
32,18,POSTED
4457,18,POSTED
6003,18,POSTED
10576,18,POSTED
10598,18,POSTED
11146,18,POSTED
14886,18,POSTED
14979,18,POSTED
15200,18,POSTED
15435,18,POSTED
15487,18,POSTED
15497,18,POSTED
15518,18,POSTED
15853,18,POSTED
16006,18,POSTED
16017,18,POSTED
16188,18,POSTED
34,19,POSTED
3584,19,POSTED
3679,19,POSTED
36,20,POSTED
15262,20,POSTED
39,21,POSTED
7529,21,POSTED
13612,21,POSTED
42,22,POSTED
70,22,POSTED
95,22,POSTED
155,22,POSTED
171,22,POSTED
3445,22,POSTED
3467,22,POSTED
3680,22,POSTED
7525,22,POSTED
7570,22,POSTED
7584,22,POSTED
7603,22,POSTED
8532,22,POSTED
8550,22,POSTED
8612,22,POSTED
8663,22,POSTED
8685,22,POSTED
8687,22,POSTED
8737,22,POSTED
8755,22,POSTED
8786,22,POSTED
8864,22,POSTED
8946,22,POSTED
8957,22,POSTED
8971,22,POSTED
8988,22,POSTED
9425,22,POSTED
44,23,POSTED
6408,23,POSTED
6429,23,POSTED
6442,23,POSTED
6462,23,POSTED
6475,23,POSTED
