listing_skill_id,listing_skill_name,course_skill_names,course_skill_ids,all_skills_matched,all_skills_matched_str
116,jquery,['jquery'],[4174],['jquery'],jquery
117,gnu,[],[],['gnu'],gnu
118,travel channel,[],[],['travel channel'],travel channel
119,ios,['ios'],[535],['ios'],ios
120,androids,['androids'],[2665],['androids'],androids
121,comcast,[],[],['comcast'],comcast
122,flash,[],[],['flash'],flash
123,summaryour,[],[],['summaryour'],summaryour
124,windows,"['windows', 'windows os']","[475, 16485]","['windows os', 'windows']",windows os;windows
125,oim,[],[],['oim'],oim
126,iam,['iam'],[4235],['iam'],iam
127,scripting knowledge,[],[],['scripting knowledge'],scripting knowledge
128,oss,['oss'],[14434],['oss'],oss
129,sales engineer,[],[],['sales engineer'],sales engineer
130,project,"['project', 'prep project']","[25, 9277]","['prep project', 'project']",prep project;project
131,consulting,[],[],['consulting'],consulting
132,sales,['sales'],[1619],['sales'],sales
133,windows server administratormust,[],[],['windows server administratormust'],windows server administratormust
134,microsoft operations managermust,[],[],['microsoft operations managermust'],microsoft operations managermust
135,requirements,[],[],['requirements'],requirements
136,ip,['ip'],[18],['ip'],ip
137,citrix,[],[],['citrix'],citrix
138,cisco pix,[],[],['cisco pix'],cisco pix
139,the windows systems administrator,[],[],['the windows systems administrator'],the windows systems administrator
140,microsoft operations,[],[],['microsoft operations'],microsoft operations
141,tcp,['tcp'],[3092],['tcp'],tcp
142,nas,[],[],['nas'],nas
143,wins,[],[],['wins'],wins
144,dutiesjob,[],[],['dutiesjob'],dutiesjob
145,active directory  domain,[],[],['active directory  domain'],active directory  domain
146,win nt,[],[],['win nt'],win nt
147,windows systems,"['windows systems', 'windowing systems']","[169, 2802]","['windows systems', 'windowing systems']",windows systems;windowing systems
148,microsoft,"['microsoft', 'microsofts']","[2540, 2559]","['microsofts', 'microsoft']",microsofts;microsoft
149,microsoft sql,[],[],['microsoft sql'],microsoft sql
150,microsoft exchange,['microsoft exchange gsmme'],[13023],"['microsoft exchange', 'microsoft exchange gsmme']",microsoft exchange;microsoft exchange gsmme
151,san,[],[],['san'],san
152,ntfs,[],[],['ntfs'],ntfs
153,vbstrong,[],[],['vbstrong'],vbstrong
154,udp,['udp'],[7547],['udp'],udp
155,win 2k2k3,[],[],['win 2k2k3'],win 2k2k3
156,technical,['technical'],[2929],['technical'],technical
157,windows server,['windows server'],[8864],['windows server'],windows server
158,vlansstrong,[],[],['vlansstrong'],vlansstrong
159,windows systems administrator,[],[],['windows systems administrator'],windows systems administrator
160,systems,[],[],['systems'],systems
161,software,['software'],[184],['software'],software
162,desktop,['desktop'],[5814],['desktop'],desktop
163,network,['network'],[16201],['network'],network
164,hardware,[],[],['hardware'],hardware
165,bidata warehousing,['data warehousing'],[4072],"['data warehousing', 'bidata warehousing']",data warehousing;bidata warehousing
166,a java architect,[],[],['a java architect'],a java architect
167,oltp,[],[],['oltp'],oltp
168,business requirements,['business requirements'],[285],['business requirements'],business requirements
169,analyst,[],[],['analyst'],analyst
170,it,[],[],['it'],it
171,analysis,['analysis'],[44],['analysis'],analysis
172,application,['applications'],[1199],"['applications', 'application']",applications;application
173,excel,['excel'],[822],['excel'],excel
174,business analyst,"['business analyst', 'a business analyst', 'business analysis']","[8897, 8898, 1384]","['business analysis', 'a business analyst', 'business analyst']",business analysis;a business analyst;business analyst
175,powerpoint,"['powerpoint', 'powerpoints']","[8240, 8241]","['powerpoints', 'powerpoint']",powerpoints;powerpoint
176,it services project,[],[],['it services project'],it services project
177,retail  manufacturing  ,[],[],['retail  manufacturing  '],retail  manufacturing  
178,retail  manufacturing  supply chain  product engineering  mobility,[],[],['retail  manufacturing  supply chain  product engineering  mobility'],retail  manufacturing  supply chain  product engineering  mobility
179,c c++,[],[],['c c++'],c c++
180,load performance testing,[],[],['load performance testing'],load performance testing
181,fixfast,[],[],['fixfast'],fixfast
182,system testing,['system testing'],[14790],['system testing'],system testing
183,agile,['agile'],[142],['agile'],agile
184,manager,[],[],['manager'],manager
185,case,[],[],['case'],case
186,defect management,[],[],['defect management'],defect management
187,project management,"['project management', 'project management project', 'project risk management', 'it project management', 'product management', 'work project management', 'agile project management', 'project management scope', 'scope project management', 'project portfolio management']","[136, 14843, 9537, 16203, 1937, 4277, 141, 8289, 8298, 15873]","['project portfolio management', 'project risk management', 'project management project', 'scope project management', 'agile project management', 'project management', 'project management scope', 'product management', 'it project management', 'work project management']",project portfolio management;project risk management;project management project;scope project management;agile project management;project management;project management scope;product management;it project management;work project management
188,matlab,['matlab'],[1927],['matlab'],matlab
189,labview,['labview'],[2830],['labview'],labview
190,fba,[],[],['fba'],fba
191,customer experience,['customer experience'],[2345],['customer experience'],customer experience
192,fulfillment,[],[],['fulfillment'],fulfillment
193,data analysts,"['data analyst', 'data analysis', 'data analyst  ']","[5327, 65, 5325]","['data analyst  ', 'data analysis', 'data analysts', 'data analyst']",data analyst  ;data analysis;data analysts;data analyst
194,sellers,[],[],['sellers'],sellers
195,authors,[],[],['authors'],authors
196,fba sellers,[],[],['fba sellers'],fba sellers
197,sellersuccess,[],[],['sellersuccess'],sellersuccess
198,amazon fulfillment centers,[],[],['amazon fulfillment centers'],amazon fulfillment centers
199,eu,['eu'],[5826],['eu'],eu
200,build processes,[],[],['build processes'],build processes
201,amazon transformationsebook,[],[],['amazon transformationsebook'],amazon transformationsebook
202,amazon fba,[],[],['amazon fba'],amazon fba
203,amazon global selling,[],[],['amazon global selling'],amazon global selling
204,enabling seller,[],[],['enabling seller'],enabling seller
205,marketplace,[],[],['marketplace'],marketplace
206,amazon,['amazon'],[343],['amazon'],amazon
207,react,['react'],[16295],['react'],react
208,nodejs,['nodejs'],[8478],['nodejs'],nodejs
209,angularjs,['angularjs'],[4030],['angularjs'],angularjs
210,andfireeye,[],[],['andfireeye'],andfireeye
211,fire eye,[],[],['fire eye'],fire eye
212,c and c++,[],[],['c and c++'],c and c++
213,mobile,['mobile'],[7092],['mobile'],mobile
214,android,['android'],[1414],['android'],android
215,pharma or biotech,[],[],['pharma or biotech'],pharma or biotech
216,scheduling,[],[],['scheduling'],scheduling
217,primavera 60,[],[],['primavera 60'],primavera 60
218,eit,[],[],['eit'],eit
219,construction,['compiler construction'],[12858],"['construction', 'compiler construction']",construction;compiler construction
220,ms project stadard,[],[],['ms project stadard'],ms project stadard
221,unifier,[],[],['unifier'],unifier
222,ai,['ai'],[2557],['ai'],ai
223,3d,[],[],['3d'],3d
224,browzwear,[],[],['browzwear'],browzwear
225,maya,[],[],['maya'],maya
226,java and java ee,[],[],['java and java ee'],java and java ee
227,jsf,[],[],['jsf'],jsf
228,spring,['spring'],[2215],['spring'],spring
229,struts,[],[],['struts'],struts
230,and hibernate,[],[],['and hibernate'],and hibernate
231,pmp,['pmp'],[8297],['pmp'],pmp
232,database,"['database', 'databases']","[1980, 64]","['databases', 'database']",databases;database
233,telecommunications,['telecommunications'],[708],['telecommunications'],telecommunications
234,salesforce,['salesforce'],[1812],['salesforce'],salesforce
235,metrics,[],[],['metrics'],metrics
236,lifecycle,['lifecycle'],[15892],['lifecycle'],lifecycle
237,data scientist,"['data scientist', 'data scientists', 'a data scientist', 'the data scientist']","[6655, 13861, 3255, 13871]","['a data scientist', 'data scientist', 'data scientists', 'the data scientist']",a data scientist;data scientist;data scientists;the data scientist
238,intuit,['intuit'],[7359],['intuit'],intuit
239,vector model search,[],[],['vector model search'],vector model search
240,pg&e & kaiser,[],[],['pg&e & kaiser'],pg&e & kaiser
241,etouch systems,[],[],['etouch systems'],etouch systems
242,digital web engineering,[],[],['digital web engineering'],digital web engineering
243,google,['google'],[1334],['google'],google
244,service &,[],[],['service &'],service &
245,data engineers,"['data engineer', 'data engineering']","[7880, 298]","['data engineer', 'data engineers', 'data engineering']",data engineer;data engineers;data engineering
246,java developer,['java developers'],[14857],"['java developers', 'java developer']",java developers;java developer
247,custom development solutions| integration & support,[],[],['custom development solutions| integration & support'],custom development solutions| integration & support
248,raju | etouch systems | desk,[],[],['raju | etouch systems | desk'],raju | etouch systems | desk
249,ca 94555,[],[],['ca 94555'],ca 94555
250,sony,[],[],['sony'],sony
251,web & mobile.,[],[],['web & mobile.'],web & mobile.
252,established,[],[],['established'],established
253,yahoo,['yahoo'],[10415],['yahoo'],yahoo
254,solution architects,"['solution architect', 'aws solution architects', 'solution architecture']","[16520, 6958, 16529]","['solution architects', 'solution architect', 'solution architecture', 'aws solution architects']",solution architects;solution architect;solution architecture;aws solution architects
255,net and c#,[],[],['net and c#'],net and c#
256,sql,['sql'],[59],['sql'],sql
257,and websites,[],[],['and websites'],and websites
258,manual and automation mobile,[],[],['manual and automation mobile'],manual and automation mobile
259,consumer electronics devices,['consumer electronics'],[6651],"['consumer electronics', 'consumer electronics devices']",consumer electronics;consumer electronics devices
260,automation mobile,[],[],['automation mobile'],automation mobile
261,financial services,"['financial services', 'financial services companies']","[1224, 1229]","['financial services', 'financial services companies']",financial services;financial services companies
262,security and risk management,['security management'],[3574],"['security management', 'security and risk management']",security management;security and risk management
263,banking,['banking'],[527],['banking'],banking
264,operations analysis,['operations management analysis'],[16561],"['operations management analysis', 'operations analysis']",operations management analysis;operations analysis
265,regulated environment,[],[],['regulated environment'],regulated environment
266,info sec,[],[],['info sec'],info sec
267,wealth management,['wealth management'],[16487],['wealth management'],wealth management
268,informatica admin,[],[],['informatica admin'],informatica admin
269,kinesis,[],[],['kinesis'],kinesis
270,redshift,['redshift'],[6955],['redshift'],redshift
271,amazons homepage personalization,[],[],['amazons homepage personalization'],amazons homepage personalization
272,dynamodb,['dynamodb'],[13572],['dynamodb'],dynamodb
273,prime video views,[],[],['prime video views'],prime video views
274,preferably with scala,[],[],['preferably with scala'],preferably with scala
275,movies,[],[],['movies'],movies
276,ms,['ms'],[4953],['ms'],ms
277,cares,[],[],['cares'],cares
278,hadoop,['hadoop'],[3052],['hadoop'],hadoop
279,books,[],[],['books'],books
280,spark,['spark'],[3195],['spark'],spark
281,python,['python'],[207],['python'],python
282,amazoncom,['amazon.com'],[8224],"['amazon.com', 'amazoncom']",amazon.com;amazoncom
283,prime music streams,[],[],['prime music streams'],prime music streams
284,data driven development,[],[],['data driven development'],data driven development
285,fashion,[],[],['fashion'],fashion
286,data analysis,"['data analysis', 'dataflow analysis', 'big data analysis', 'data analyst']","[65, 14734, 15326, 5327]","['dataflow analysis', 'data analysis', 'big data analysis', 'data analyst']",dataflow analysis;data analysis;big data analysis;data analyst
287,supervision,['supervision'],[4446],['supervision'],supervision
288,outlook,[],[],['outlook'],outlook
289,onsite,[],[],['onsite'],onsite
290,andmonitor,[],[],['andmonitor'],andmonitor
291,andcra,[],[],['andcra'],andcra
292,site or on site,[],[],['site or on site'],site or on site
293,on site or,[],[],['on site or'],on site or
294,quality assurance casino/gaming,[],[],['quality assurance casino/gaming'],quality assurance casino/gaming
295,analyzes,[],[],['analyzes'],analyzes
296,bsee,[],[],['bsee'],bsee
297,as9102,[],[],['as9102'],as9102
298,quality assurance casino,[],[],['quality assurance casino'],quality assurance casino
299,iso 9001,[],[],['iso 9001'],iso 9001
300,investigates,[],[],['investigates'],investigates
301,product quality assurance minimum,[],[],['product quality assurance minimum'],product quality assurance minimum
302,reviews,[],[],['reviews'],reviews
303,knowledge of lean manufacturing,[],[],['knowledge of lean manufacturing'],knowledge of lean manufacturing
304,"skills, & abilities",[],[],"['skills, & abilities']","skills, & abilities"
305,quality assurance standards,[],[],['quality assurance standards'],quality assurance standards
306,bsme,[],[],['bsme'],bsme
307,supports supply chain management,"['supply chain management', 'the supply chain management', 'supply chain risk management']","[4101, 13374, 14129]","['supports supply chain management', 'supply chain management', 'supply chain risk management', 'the supply chain management']",supports supply chain management;supply chain management;supply chain risk management;the supply chain management
308,system support administratorseeking,[],[],['system support administratorseeking'],system support administratorseeking
309,key responsibilities perform,[],[],['key responsibilities perform'],key responsibilities perform
310,evaluate,"['evaluate', 'tevaluate']","[1354, 7405]","['tevaluate', 'evaluate']",tevaluate;evaluate
311,system support administrator,['system administrator'],[12548],"['system administrator', 'system support administrator']",system administrator;system support administrator
312,high school,['high school'],[983],['high school'],high school
313,microsoft office,['microsoft office'],[1952],['microsoft office'],microsoft office
314,alert,[],[],['alert'],alert
315,pim,[],[],['pim'],pim
316,payment gateways,[],[],['payment gateways'],payment gateways
317,konakart,[],[],['konakart'],konakart
318,catalogs,[],[],['catalogs'],catalogs
319,etc any experience with broadleaf,[],[],['etc any experience with broadleaf'],etc any experience with broadleaf
320,shopping carts,[],[],['shopping carts'],shopping carts
321,pci,['pci'],[5385],['pci'],pci
322,bidm,[],[],['bidm'],bidm
323,source code,['source code'],[4367],['source code'],source code
324,data modeling,['data modeling'],[16694],['data modeling'],data modeling
325,olap cube,[],[],['olap cube'],olap cube
326,change management,"['change management', 'channel management']","[394, 1271]","['change management', 'channel management']",change management;channel management
327,software development life cycle sdlc,[],[],['software development life cycle sdlc'],software development life cycle sdlc
328,the business intelligence bi development,[],[],['the business intelligence bi development'],the business intelligence bi development
329,ssas,['ssas'],[13115],['ssas'],ssas
330,business intelligence bi development,[],[],['business intelligence bi development'],business intelligence bi development
331,relational data,['relational database'],[936],"['relational data', 'relational database']",relational data;relational database
332,ssrs,[],[],['ssrs'],ssrs
333,ssis,[],[],['ssis'],ssis
334,microsoft bi platform,[],[],['microsoft bi platform'],microsoft bi platform
335,mdx,[],[],['mdx'],mdx
336,software development life cycle,['the software development lifecycle'],[15601],"['the software development lifecycle', 'software development life cycle']",the software development lifecycle;software development life cycle
337,information technology it management,[],[],['information technology it management'],information technology it management
338,etl code,[],[],['etl code'],etl code
339,microsoft business intelligence,[],[],['microsoft business intelligence'],microsoft business intelligence
340,cubes,[],[],['cubes'],cubes
341,data warehouse development,[],[],['data warehouse development'],data warehouse development
342,architectural design patterns,['architectural design'],[1030],"['architectural design patterns', 'architectural design']",architectural design patterns;architectural design
343,tfs,[],[],['tfs'],tfs
344,web services,"['web services ws', 'web service']","[6950, 1193]","['web services ws', 'web services', 'web service']",web services ws;web services;web service
345,vb,['vb'],[15705],['vb'],vb
346,css,['css'],[4177],['css'],css
347,wcf,[],[],['wcf'],wcf
348,xml xsl,[],[],['xml xsl'],xml xsl
349,ajax,['ajax'],[11620],['ajax'],ajax
350,vb script,[],[],['vb script'],vb script
351,html,['html'],[1517],['html'],html
352,algorithms,"['algorithms', 'algorithmics']","[235, 4589]","['algorithms', 'algorithmics']",algorithms;algorithmics
353,ood,[],[],['ood'],ood
354,programming,"['c programming', 'r programming', 'ccprogramming', 'pair programming']","[538, 946, 16511, 15585]","['programming', 'pair programming', 'ccprogramming', 'c programming', 'r programming']",programming;pair programming;ccprogramming;c programming;r programming
355,ms office,[],[],['ms office'],ms office
356,testing,[],[],['testing'],testing
357,angular js,['angularjs'],[4030],"['angularjs', 'angular js']",angularjs;angular js
358,java j2ee,[],[],['java j2ee'],java j2ee
359,hibernate,[],[],['hibernate'],hibernate
360,disaster recovery  business continuity,[],[],['disaster recovery  business continuity'],disaster recovery  business continuity
361,windowns san,[],[],['windowns san'],windowns san
362,cisco asa,[],[],['cisco asa'],cisco asa
363,solarwinds,[],[],['solarwinds'],solarwinds
364,vim,[],[],['vim'],vim
365,catalyst,[],[],['catalyst'],catalyst
366,shavlik,[],[],['shavlik'],shavlik
367,windows 2008  2012 server,[],[],['windows 2008  2012 server'],windows 2008  2012 server
368,tsm,[],[],['tsm'],tsm
369,open cv,[],[],['open cv'],open cv
370,algorithm engineer,[],[],['algorithm engineer'],algorithm engineer
371,computer vision,"['computer vision', 'computervision', 'computer vision cv']","[2565, 8743, 10524]","['computervision', 'computer vision cv', 'computer vision']",computervision;computer vision cv;computer vision
372,algorithm rd experiences,[],[],['algorithm rd experiences'],algorithm rd experiences
373,sap apo,[],[],['sap apo'],sap apo
374,ms excel,['ms excel'],[8221],['ms excel'],ms excel
375,bw reporting,[],[],['bw reporting'],bw reporting
376,budget,['budget'],[3784],['budget'],budget
377,procurement,"['procurement', 'eprocurement']","[6065, 12387]","['eprocurement', 'procurement']",eprocurement;procurement
378,project coordinator,[],[],['project coordinator'],project coordinator
379,system engineer,[],[],['system engineer'],system engineer
380,continuous integration,['continuous integration'],[2847],['continuous integration'],continuous integration
381,perforce,[],[],['perforce'],perforce
382,build release engineer,[],[],['build release engineer'],build release engineer
383,jenkins,['jenkins'],[4364],['jenkins'],jenkins
384,devops engineer,['devops engineer'],[11823],['devops engineer'],devops engineer
385,perl,[],[],['perl'],perl
386,centos,[],[],['centos'],centos
387,maven,['maven'],[9555],['maven'],maven
388,shell,[],[],['shell'],shell
389,bash,['bash'],[1715],['bash'],bash
390,rhel,[],[],['rhel'],rhel
391,projects,['projects'],[15108],['projects'],projects
392,workflow etc,[],[],['workflow etc'],workflow etc
393,general ledger,[],[],['general ledger'],general ledger
394,oracle r12 ebusiness,[],[],['oracle r12 ebusiness'],oracle r12 ebusiness
395,ame,[],[],['ame'],ame
396,vanderhouwen,[],[],['vanderhouwen'],vanderhouwen
397,release planning,[],[],['release planning'],release planning
398,qualificationsbachelor,[],[],['qualificationsbachelor'],qualificationsbachelor
399,iteration and release planning,[],[],['iteration and release planning'],iteration and release planning
400,ltl,[],[],['ltl'],ltl
401,product owner(s,[],[],['product owner(s'],product owner(s
402,project manager,"['project managers', 'product manager', 'project management']","[14196, 8493, 136]","['project management', 'product manager', 'project manager', 'project managers']",project management;product manager;project manager;project managers
403,iteration,['iteration'],[1118],['iteration'],iteration
404,edi,['edi'],[10696],['edi'],edi
405,pharma,[],[],['pharma'],pharma
