course_id,course_skill_id
0,0
330,0
1906,0
2424,0
2445,0
2452,0
2650,0
2709,0
2899,0
3481,0
0,1
1481,1
0,2
206,2
292,2
339,2
445,2
535,2
1067,2
1213,2
1431,2
1451,2
1481,2
1575,2
1629,2
1655,2
1995,2
2011,2
2055,2
2424,2
2809,2
3005,2
3112,2
3209,2
3462,2
0,3
11,3
142,3
1371,3
1508,3
1666,3
1826,3
2014,3
2596,3
3010,3
3020,3
3055,3
3079,3
3111,3
0,4
2,4
137,4
148,4
149,4
150,4
339,4
344,4
535,4
806,4
884,4
923,4
1249,4
1450,4
1451,4
1481,4
1595,4
1823,4
1840,4
2112,4
2131,4
2210,4
2319,4
2385,4
2411,4
2424,4
2678,4
2771,4
3005,4
3152,4
3199,4
3357,4
3462,4
3481,4
0,5
38,5
60,5
64,5
87,5
104,5
117,5
133,5
159,5
170,5
173,5
209,5
222,5
230,5
232,5
255,5
292,5
326,5
339,5
445,5
452,5
463,5
494,5
508,5
531,5
535,5
544,5
575,5
595,5
600,5
604,5
605,5
614,5
625,5
631,5
650,5
671,5
672,5
676,5
700,5
732,5
740,5
741,5
747,5
758,5
771,5
777,5
798,5
804,5
850,5
854,5
900,5
915,5
955,5
969,5
1008,5
1022,5
1035,5
1039,5
1067,5
1073,5
1088,5
1097,5
1111,5
1115,5
1162,5
1176,5
1213,5
1246,5
1258,5
1263,5
1285,5
1362,5
1371,5
1372,5
1398,5
1402,5
1414,5
1431,5
1436,5
1440,5
1451,5
1467,5
1470,5
1481,5
1482,5
1495,5
1514,5
1523,5
1547,5
1575,5
1576,5
1608,5
1619,5
1629,5
1641,5
1655,5
1658,5
1727,5
1774,5
1785,5
1800,5
1863,5
1865,5
1912,5
1938,5
1959,5
1984,5
1995,5
2011,5
2014,5
2055,5
2061,5
2087,5
2122,5
2126,5
2230,5
2235,5
2248,5
2279,5
2289,5
2295,5
2323,5
2364,5
2385,5
2392,5
2399,5
2424,5
2469,5
2503,5
2506,5
2537,5
2636,5
2651,5
2702,5
2727,5
2732,5
2772,5
2810,5
2823,5
2887,5
2891,5
2921,5
2932,5
2952,5
2957,5
2991,5
3000,5
3002,5
3005,5
3051,5
3057,5
3140,5
3144,5
3209,5
3211,5
3236,5
3330,5
3355,5
3361,5
3384,5
3445,5
3462,5
3473,5
3481,5
3501,5
3509,5
0,6
0,7
0,8
0,9
0,10
1173,10
1481,10
1664,10
2399,10
0,11
3462,11
3481,11
0,12
1481,12
0,13
0,14
1481,14
3481,14
0,15
149,15
1604,15
1664,15
2233,15
2536,15
3255,15
0,16
1629,16
0,17
0,18
353,18
1481,18
1629,18
1810,18
2130,18
2696,18
2996,18
3066,18
3068,18
3481,18
1,19
10,19
207,19
372,19
954,19
1038,19
1056,19
1636,19
1789,19
1915,19
2109,19
2116,19
2477,19
2989,19
3089,19
3232,19
3233,19
3299,19
3311,19
1,20
3,20
45,20
110,20
116,20
120,20
123,20
179,20
181,20
183,20
197,20
289,20
306,20
307,20
316,20
338,20
352,20
355,20
373,20
419,20
435,20
441,20
456,20
461,20
471,20
523,20
572,20
590,20
646,20
668,20
708,20
829,20
830,20
832,20
849,20
896,20
974,20
992,20
1002,20
1010,20
1015,20
1034,20
1055,20
1090,20
1113,20
1133,20
1164,20
1178,20
1188,20
1228,20
1236,20
1286,20
1287,20
1298,20
1335,20
1363,20
1394,20
1418,20
1461,20
1498,20
1510,20
1597,20
1653,20
1672,20
1682,20
1693,20
1720,20
1733,20
1743,20
1765,20
1775,20
1808,20
1834,20
1860,20
1873,20
1876,20
1877,20
1936,20
1985,20
1986,20
1990,20
2020,20
2030,20
2038,20
2067,20
2068,20
2082,20
2202,20
2256,20
2272,20
2291,20
2315,20
2336,20
2361,20
2371,20
2423,20
2437,20
2438,20
2494,20
2511,20
2533,20
2593,20
2600,20
2613,20
2629,20
2637,20
2641,20
2642,20
2647,20
2743,20
2754,20
2794,20
2829,20
2851,20
2878,20
2900,20
2905,20
2917,20
2937,20
2944,20
2969,20
2995,20
3035,20
3037,20
3044,20
3069,20
3119,20
3137,20
3140,20
3153,20
3176,20
3215,20
3237,20
3246,20
3295,20
3309,20
3343,20
3428,20
3429,20
3431,20
3434,20
3437,20
3448,20
3452,20
3488,20
1,21
729,21
852,21
1142,21
1178,21
1545,21
1941,21
2063,21
2315,21
2483,21
3257,21
3432,21
1,22
627,22
1103,22
1317,22
1570,22
1636,22
1778,22
2128,22
2147,22
2152,22
3232,22
3332,22
1,23
6,23
8,23
11,23
32,23
39,23
51,23
56,23
60,23
86,23
166,23
169,23
224,23
245,23
289,23
291,23
315,23
316,23
344,23
364,23
379,23
423,23
446,23
452,23
468,23
489,23
495,23
501,23
505,23
539,23
595,23
622,23
639,23
658,23
676,23
677,23
725,23
754,23
773,23
775,23
780,23
827,23
872,23
875,23
884,23
925,23
937,23
949,23
953,23
954,23
968,23
970,23
1008,23
1043,23
1060,23
1069,23
1076,23
1099,23
1101,23
1111,23
1121,23
1129,23
1131,23
1144,23
1184,23
1186,23
1192,23
1195,23
1197,23
1239,23
1254,23
1256,23
1259,23
1260,23
1333,23
1362,23
1370,23
1437,23
1439,23
1446,23
1470,23
1528,23
1545,23
1548,23
1557,23
1582,23
1611,23
1636,23
1658,23
1663,23
1682,23
1705,23
1714,23
1716,23
1749,23
1750,23
1762,23
1817,23
1822,23
1830,23
1853,23
1868,23
1883,23
1912,23
1964,23
1978,23
1997,23
2030,23
2042,23
2058,23
2096,23
2097,23
2117,23
2149,23
2161,23
2164,23
2175,23
2195,23
2213,23
2225,23
2249,23
2250,23
2269,23
2279,23
2293,23
2316,23
2319,23
2330,23
2333,23
2336,23
2360,23
2374,23
2446,23
2449,23
2477,23
2524,23
2546,23
2559,23
2598,23
2623,23
2627,23
2629,23
2632,23
2665,23
2666,23
2726,23
2743,23
2772,23
2786,23
2790,23
2844,23
2847,23
2877,23
2878,23
2894,23
2928,23
2952,23
2969,23
2972,23
2986,23
3062,23
3069,23
3081,23
3146,23
3147,23
3165,23
3180,23
3192,23
3210,23
3232,23
3236,23
3270,23
3328,23
3337,23
3359,23
3365,23
3372,23
3377,23
3400,23
3407,23
3412,23
3425,23
3480,23
3493,23
1,24
374,24
990,24
1004,24
1101,24
1195,24
1222,24
1319,24
2187,24
2298,24
2316,24
2506,24
2844,24
2878,24
3214,24
3239,24
1,25
5,25
6,25
10,25
11,25
14,25
33,25
38,25
50,25
60,25
62,25
69,25
84,25
86,25
108,25
115,25
118,25
142,25
152,25
155,25
166,25
181,25
190,25
196,25
204,25
211,25
220,25
223,25
224,25
230,25
249,25
261,25
271,25
273,25
278,25
282,25
298,25
316,25
317,25
359,25
372,25
375,25
377,25
396,25
407,25
422,25
463,25
492,25
495,25
502,25
508,25
511,25
515,25
517,25
525,25
532,25
542,25
544,25
560,25
562,25
575,25
577,25
579,25
586,25
601,25
603,25
606,25
610,25
617,25
622,25
630,25
640,25
642,25
647,25
657,25
666,25
669,25
710,25
735,25
752,25
757,25
764,25
768,25
772,25
786,25
790,25
799,25
804,25
805,25
831,25
840,25
853,25
879,25
880,25
892,25
915,25
918,25
925,25
933,25
945,25
950,25
954,25
956,25
957,25
961,25
964,25
969,25
984,25
1006,25
1008,25
1032,25
1035,25
1046,25
1051,25
1052,25
1060,25
1062,25
1064,25
1071,25
1072,25
1075,25
1080,25
1086,25
1102,25
1115,25
1121,25
1141,25
1152,25
1154,25
1164,25
1170,25
1180,25
1191,25
1211,25
1218,25
1235,25
1240,25
1243,25
1248,25
1275,25
1283,25
1285,25
1287,25
1295,25
1299,25
1305,25
1306,25
1315,25
1321,25
1333,25
1335,25
1354,25
1358,25
1366,25
1373,25
1378,25
1418,25
1420,25
1438,25
1440,25
1500,25
1515,25
1520,25
1535,25
1542,25
1545,25
1548,25
1572,25
1582,25
1591,25
1593,25
1601,25
1607,25
1636,25
1640,25
1644,25
1661,25
1670,25
1677,25
1693,25
1705,25
1717,25
1734,25
1740,25
1741,25
1749,25
1763,25
1765,25
1771,25
1775,25
1779,25
1785,25
1788,25
1815,25
1820,25
1832,25
1835,25
1836,25
1844,25
1851,25
1858,25
1860,25
1863,25
1875,25
1876,25
1877,25
1882,25
1902,25
1915,25
1920,25
1931,25
1946,25
1948,25
1959,25
1968,25
1978,25
1987,25
2003,25
2014,25
2015,25
2016,25
2024,25
2027,25
2045,25
2059,25
2063,25
2067,25
2070,25
2072,25
2075,25
2101,25
2106,25
2109,25
2111,25
2118,25
2126,25
2147,25
2153,25
2159,25
2160,25
2175,25
2184,25
2186,25
2198,25
2213,25
2224,25
2235,25
2245,25
2268,25
2271,25
2274,25
2280,25
2291,25
2297,25
2302,25
2307,25
2314,25
2316,25
2336,25
2346,25
2357,25
2364,25
2366,25
2376,25
2383,25
2388,25
2406,25
2428,25
2436,25
2446,25
2465,25
2466,25
2467,25
2469,25
2470,25
2472,25
2477,25
2480,25
2483,25
2497,25
2498,25
2504,25
2506,25
2508,25
2511,25
2530,25
2531,25
2545,25
2547,25
2552,25
2572,25
2586,25
2589,25
2590,25
2598,25
2601,25
2613,25
2617,25
2618,25
2621,25
2639,25
2642,25
2647,25
2664,25
2665,25
2668,25
2673,25
2675,25
2688,25
2727,25
2742,25
2744,25
2750,25
2752,25
2763,25
2770,25
2774,25
2786,25
2789,25
2790,25
2794,25
2811,25
2819,25
2833,25
2834,25
2847,25
2852,25
2857,25
2875,25
2878,25
2880,25
2887,25
2888,25
2894,25
2910,25
2912,25
2920,25
2922,25
2934,25
2938,25
2944,25
2962,25
2986,25
2991,25
2997,25
3022,25
3023,25
3024,25
3029,25
3069,25
3070,25
3093,25
3108,25
3111,25
3112,25
3133,25
3176,25
3179,25
3213,25
3220,25
3222,25
3232,25
3241,25
3243,25
3244,25
3256,25
3257,25
3259,25
3281,25
3283,25
3306,25
3311,25
3322,25
3327,25
3348,25
3358,25
3359,25
3360,25
3361,25
3365,25
3373,25
3379,25
3390,25
3394,25
3399,25
3400,25
3408,25
3418,25
3421,25
3443,25
3471,25
3474,25
3475,25
3477,25
3488,25
3501,25
3509,25
1,26
670,26
1437,26
1915,26
1,27
6,27
48,27
373,27
452,27
648,27
658,27
668,27
725,27
766,27
852,27
937,27
954,27
1101,27
1195,27
1260,27
1362,27
1597,27
1636,27
1915,27
1941,27
2058,27
2195,27
2316,27
2360,27
2425,27
2506,27
2598,27
2665,27
2844,27
2877,27
2951,27
2995,27
3241,27
3400,27
3432,27
1,28
10,28
14,28
33,28
104,28
153,28
261,28
282,28
317,28
351,28
405,28
422,28
452,28
536,28
676,28
729,28
784,28
810,28
1022,28
1037,28
1039,28
1097,28
1120,28
1141,28
1151,28
1268,28
1281,28
1282,28
1285,28
1518,28
1545,28
1575,28
1576,28
1636,28
1649,28
1684,28
1693,28
1860,28
1906,28
1940,28
1960,28
2040,28
2127,28
2186,28
2284,28
2308,28
2636,28
2656,28
2671,28
2700,28
2810,28
2851,28
2958,28
2974,28
3000,28
3065,28
3103,28
3112,28
3145,28
3151,28
3232,28
3236,28
3311,28
1,29
954,29
969,29
1636,29
2147,29
2559,29
3232,29
2,30
275,30
303,30
381,30
433,30
444,30
454,30
458,30
774,30
929,30
988,30
1063,30
1122,30
1135,30
1249,30
1301,30
1383,30
1388,30
1454,30
1485,30
1524,30
1804,30
1935,30
2002,30
2144,30
2196,30
2260,30
2306,30
2394,30
2500,30
2510,30
2607,30
2628,30
2718,30
2893,30
2948,30
2999,30
3005,30
3014,30
3104,30
3446,30
3460,30
3495,30
2,31
465,31
699,31
2,32
30,32
73,32
168,32
286,32
437,32
468,32
513,32
522,32
573,32
645,32
679,32
753,32
755,32
843,32
960,32
1303,32
1330,32
1492,32
1581,32
1687,32
1781,32
1841,32
2048,32
2191,32
2251,32
2411,32
2487,32
2580,32
2626,32
2634,32
2654,32
2693,32
2759,32
2766,32
2801,32
2843,32
3013,32
3046,32
3116,32
3159,32
3226,32
3318,32
3446,32
2,33
2,34
438,34
742,34
835,34
863,34
1041,34
1475,34
2144,34
2500,34
2616,34
2854,34
2,35
132,35
161,35
313,35
333,35
355,35
438,35
444,35
454,35
458,35
465,35
513,35
568,35
620,35
679,35
742,35
769,35
835,35
863,35
966,35
1013,35
1041,35
1063,35
1098,35
1106,35
1122,35
1202,35
1250,35
1257,35
1301,35
1330,35
1475,35
1496,35
1524,35
1625,35
1713,35
1750,35
1921,35
1923,35
1964,35
2002,35
2144,35
2191,35
2196,35
2260,35
2263,35
2443,35
2476,35
2487,35
2500,35
2510,35
2592,35
2616,35
2662,35
2682,35
2691,35
2728,35
2762,35
2792,35
2843,35
2948,35
3036,35
3072,35
3092,35
3114,35
3186,35
3224,35
3263,35
3364,35
3460,35
3461,35
3493,35
3520,35
2,36
30,36
88,36
91,36
284,36
303,36
313,36
333,36
341,36
381,36
433,36
454,36
620,36
755,36
835,36
1062,36
1068,36
1094,36
1106,36
1203,36
1204,36
1388,36
1397,36
1485,36
1516,36
1625,36
1628,36
1648,36
1697,36
1805,36
1814,36
1850,36
1921,36
1935,36
2002,36
2006,36
2027,36
2183,36
2191,36
2196,36
2242,36
2306,36
2358,36
2411,36
2443,36
2500,36
2510,36
2520,36
2543,36
2571,36
2603,36
2616,36
2618,36
2626,36
2682,36
2691,36
2718,36
2762,36
2854,36
2890,36
2893,36
2948,36
3104,36
3114,36
3115,36
3186,36
3279,36
2,37
30,37
73,37
127,37
262,37
513,37
559,37
645,37
690,37
753,37
774,37
835,37
863,37
960,37
966,37
1041,37
1475,37
1492,37
1516,37
1581,37
1713,37
1781,37
1845,37
1920,37
1923,37
2048,37
2191,37
2302,37
2349,37
2476,37
2510,37
2616,37
2626,37
2693,37
2696,37
2728,37
2766,37
2801,37
2843,37
2873,37
2950,37
3013,37
3014,37
3057,37
3169,37
3186,37
3226,37
3253,37
3385,37
3446,37
2,38
442,38
870,38
1132,38
1177,38
1244,38
1442,38
1627,38
2017,38
2069,38
2100,38
2619,38
2685,38
2722,38
2765,38
2804,38
2854,38
2,39
2854,39
2,40
2,41
2,42
7,42
23,42
76,42
96,42
146,42
154,42
159,42
185,42
195,42
199,42
227,42
252,42
308,42
314,42
315,42
414,42
416,42
487,42
502,42
521,42
566,42
572,42
586,42
628,42
678,42
720,42
774,42
836,42
839,42
860,42
887,42
1003,42
1033,42
1072,42
1150,42
1153,42
1177,42
1256,42
1263,42
1329,42
1349,42
1355,42
1416,42
1426,42
1484,42
1543,42
1598,42
1633,42
1658,42
1662,42
1718,42
1798,42
1801,42
1909,42
1930,42
1936,42
1939,42
1996,42
2011,42
2039,42
2052,42
2056,42
2156,42
2194,42
2200,42
2229,42
2233,42
2250,42
2286,42
2293,42
2309,42
2319,42
2340,42
2445,42
2452,42
2538,42
2648,42
2705,42
2723,42
2789,42
2804,42
2819,42
2824,42
2841,42
3042,42
3066,42
3082,42
3084,42
3096,42
3126,42
3198,42
3216,42
3244,42
3250,42
3286,42
3325,42
3342,42
3383,42
3388,42
3397,42
3404,42
3410,42
3427,42
3471,42
3490,42
3505,42
3,43
10,43
11,43
15,43
32,43
43,43
70,43
71,43
97,43
119,43
121,43
122,43
141,43
145,43
162,43
168,43
181,43
189,43
204,43
214,43
224,43
229,43
231,43
244,43
245,43
257,43
277,43
288,43
322,43
326,43
328,43
329,43
331,43
348,43
351,43
352,43
357,43
366,43
389,43
396,43
397,43
402,43
418,43
422,43
425,43
435,43
439,43
441,43
446,43
468,43
495,43
503,43
504,43
509,43
532,43
540,43
557,43
565,43
578,43
591,43
593,43
596,43
610,43
616,43
622,43
629,43
639,43
642,43
665,43
725,43
750,43
765,43
770,43
775,43
778,43
780,43
783,43
785,43
792,43
793,43
804,43
813,43
817,43
820,43
829,43
834,43
841,43
845,43
846,43
847,43
851,43
853,43
855,43
856,43
860,43
876,43
913,43
922,43
925,43
942,43
949,43
950,43
951,43
969,43
972,43
976,43
983,43
992,43
995,43
1003,43
1031,43
1033,43
1034,43
1042,43
1052,43
1060,43
1066,43
1069,43
1073,43
1078,43
1087,43
1096,43
1099,43
1103,43
1115,43
1130,43
1131,43
1134,43
1135,43
1143,43
1172,43
1175,43
1176,43
1178,43
1188,43
1198,43
1201,43
1220,43
1222,43
1223,43
1275,43
1279,43
1287,43
1295,43
1298,43
1321,43
1342,43
1366,43
1393,43
1394,43
1400,43
1409,43
1415,43
1439,43
1452,43
1469,43
1484,43
1510,43
1512,43
1517,43
1528,43
1529,43
1530,43
1544,43
1548,43
1553,43
1554,43
1555,43
1582,43
1584,43
1588,43
1593,43
1610,43
1611,43
1616,43
1644,43
1663,43
1682,43
1685,43
1687,43
1699,43
1705,43
1712,43
1713,43
1727,43
1728,43
1729,43
1760,43
1762,43
1767,43
1779,43
1783,43
1788,43
1796,43
1801,43
1811,43
1812,43
1817,43
1818,43
1826,43
1838,43
1839,43
1844,43
1852,43
1861,43
1868,43
1872,43
1882,43
1883,43
1885,43
1890,43
1917,43
1925,43
1926,43
1964,43
